code	name	last_modified	transfer_auto	transfer_evidence	vital_auto	vital_evidence	health_sensitive_auto	health_evidence	medical_basis_auto	medical_evidence	law_first_line
BH	Bahrain	2 February 2026	AUTH	Data controllers would be permitted to transfer personal data directly to the states, countries and territories listed in the regulation, without obtaining prior authorization from the Authority.	yes	In this instance, one shall have to satisfy the terms and conditions prescribed for viewing the register before viewing that information; if the transfer is necessary for any of the following: to implement a contract between the data subject and the data controller, or to undertake preceding steps a	no		yes	Processing of sensitive personal data is also prohibited without the consent of the data subject, except when the processing: is required by the data controller to carry out their obligations; is necessary for the protection of the data subject; of the data is made available to the public by the dat	"Bahrain enacted Law No. 30 of 2018 with respect to Personal Data Protection ("" PDPL"" ) on July 12, 2018."
BD	Bangladesh	3 January 2024	AUTH	Furthermore, in our opinion, subscribers would not have the option of giving consent to the telcos to share their data, instead for such sharing, approval from the Commission will be required.	no		no		no		Cyber al Security Act 2023 ( CA 2023 ).
BB	Barbados	28 January 2024	COND	Transfer of personal data is unlawful unless certain conditions are satisfied.	no		no		no		"The Data Protection Act (the"" Act"" ) was passed on August 12, 2019, and came into force in March 2021."
BY	Belarus	13 February 2026	COND	The general rule is that cross-border transfer is prohibited, unless the relevant third country provides an appropriate level of protection of the personal data subjects’ rights.	no		yes	Definition of sensitive personal data Data Protection Law defines“ special personal data” which include information about race, nationality, political, religious and other convictions, health and sexual activity; criminal conviction records; biometric and genetic personal data.“ Biometric personal d	no		The fundamental legal act regulating personal data protection in Belarus is the Law on Personal Data Protection of 7 May 2021 No. 99-Z which entered into force on 15 November 2021 (Data Protection Law).
BE	Belgium	13 February 2026	AUTH	The GDPR has removed the need which existed in some Member States under the previous law to notify and in some cases seek prior approval of standard contractual clauses from supervisory authorities.	yes	The GDPR also includes a list of context specific derogations, permitting transfers to third countries where: explicit informed consent has been obtained; the transfer is necessary for the performance of a contract or the implementation of pre-contractual measures; the transfer is necessary for the 	yes	"The GDPR creates more restrictive rules for the processing of"" special categories"" (Article 9) of personal data (including data relating to race, religion, sexual life, data pertaining to health, genetics and biometrics) and personal data relating to criminal convictions and offences (Article 10)."	yes	Special Category Data Processing of special category data is prohibited (Article 9), except where one of the following exemptions applies (which, in effect, operate as secondary bases which must be established for the lawful processing of special category data, in addition to an Article 6 basis): wi	The GDPR has been integrated in Belgium through a number of laws.
BJ	Benin	20 January 2025	COND	A personal data processor may transfer data to a foreign country if the receiving country ensures an adequate level of protection for the privacy and human rights and freedoms of the persons concerned.	no		yes	Definition of Sensitive Personal Data Pursuant to Article 1 of the Digital Code, the following personal data is considered 'sensitive' and is subject to specific processing conditions: personal data revealing racial or ethnic origin, political opinions, religious or philosophical beliefs; trade unio	no		The data protection regime in Benin is governed by two pieces of legislations namely the Law No. 2017-20 of April 20, 2018 on the digital code amended by law no. 2020-35 of 06 January 2021 and the Law No. 2009-09 of May 22, 2009 Dealing with the Protection of Personally Identifiable Information.
BM	Bermuda	28 January 2024	COND	PIPA regulates the transfer of personal information to an overseas third party.	no		yes	"Definition of sensitive personal data PIPA provides for a definition of"" sensitive personal information"" as meaning"" any personal information relating to an individual’s place of origin, race, colour, national or ethnic origin, sex, sexual orientation, sexual life, marital status, physical or mental"	no		The Bermuda legislature passed a comprehensive legislative framework that specifically addresses issues of data protection in the form of the Personal Information Protection Act 2016 (PIPA).
BO	Bolivia	4 February 2026	COND	There are currenlty no specific requirements for the lawful transfer of personal data.	no		no		no		Bolivia does not have a comprehensive Data Protection Law.
BQ	Bonaire, Sint Eustatius and Saba	10 February 2025	COND	Personal Data Protection Act BES Article 42 of Personal Data Protection Act BES stipulates that personal data that is subject to processing or that are intended to be processed after its transfer may only be transferred to a country outside the European Union if, without prejudice to compliance with	no		yes	Definition of Sensitive Personal Data Personal Data Protection Act BES A person’s religion or belief, race, political views, health, sexual life as well as personal data concerning membership of a trade union.	no		Personal Data Protection Act BES (Wet bescherming persoonsgegevens BES) (“Personal Data Protection Act BES”); General Data Protection Regulation (the“ GDPR”) – a regulation of the European Union which became effective on May 25, 2018.
BA	Bosnia and Herzegovina	13 February 2026	COND	The transfer of personal data outside Bosnia and Herzegovina is allowed only under strict conditions to ensure that the rights of data subjects are protected: Adequacy of protection.	no		yes	Special categories of personal data mean personal data revealing racial or ethnic origin, political opinions, religious or philosophical beliefs, or trade union membership, as well as genetic data, biometric data processed for the purpose of uniquely identifying a natural person, data concerning hea	no		"The Law on the Protection of Personal Data of BiH (""Official Gazette of BiH"", no. 12/25) The Law on Personal Data Protection of Bosnia and Herzegovina (“ DP Law” ) was adopted on 30th January 2025 and entered into force on 8th March 2025."
BW	Botswana	18 March 2026	AUTH	Transborder transfers of personal data require prior authorisation to be granted by the Commissioner so as to assess and ensure that adequate levels of protection are provided by the country receiving the personal data.	yes	Notwithstanding the above, transborder transfers to countries which do not offer an adequate level of protection are allowed where the data subject consents to the proposed transfer or, where the transfer is: necessary for the performance of a contract between the data subject and the data controlle	yes	Definition of sensitive personal data Sensitive Personal Data is defined to mean personal data which reveals a data subject’s: racial or ethnic origin; political opinions; religious beliefs or philosophical beliefs; membership of a trade union; physical or mental health or condition; sexual life; or	yes	Furthermore, processing of sensitive personal data for health or medical purposes is allowed where the processing is done by a health professional and is necessary for preventative medicine as well as protection of public health, medical diagnosis, health care or the management of health and hospita	The Data Protection Act – Act No. 18 of 2024, (“ the DPA” ) is an Act which was assented to by Parliament on the 19th August 2024 and came into effect on the 29th October 2024.
BR	Brazil	30 March 2026	COND	The transfer of personal data to other jurisdictions is allowed only subject to compliance with the requirements of the LGPD.	yes	Prior specific and informed consent is needed for cross-border transfers, unless: The transfer is to countries or international organizations with an adequate level of protection of personal data There are adequate guarantees of compliance with the principles and rights of data subject provided by L	yes	Definition of sensitive personal data The LGPD defines sensitive personal data as any personal data concerning: Racial or ethnic origin Religious belief Political opinion Trade union Religious, philosophical or political organization membership Health or sex life Genetic or biometric data Related re	no		In force since September 18, 2020, the Brazilian General Data Protection Law (LGPD) is Brazil’s first comprehensive data protection regulation, and it broadly aligns with the EU General Data Protection Act (GDPR).
VG	British Virgin Islands	28 January 2025	COND	As set out under the General Principle, transfers of personal data by a data controller or a data processor to countries or territories outside the British Virgin Islands are only permitted where that country or territory ensures an adequate level of protection of data protection safeguards in relat	yes	The DPA also includes the following exceptions where the General Principle will not apply to a transfer: if the data subject has consented to the transfer (where consent must be freely given, specific, informed, and unambiguous and must be capable of being withdrawn at any time) where the transfer i	yes	Definitions in the British Virgin Islands Definition of personal data Personal data means any information in respect of commercial transactions which: (i) is being processed wholly or partly by means of equipment operating automatically in response to instructions given for that purpose; (ii) is rec	no		The British Virgin Islands' Data Protection Act, 2021 (DPA) came into force on 9 July 2021.
BN	Brunei	18 March 2026	COND	At present not a regulated activity.	no		no		no		"In Brunei Darussalam, the Personal Data Protection Order, 2025 (""PDPO"") was enacted on 8 January 2025, with most substantive provisions commencing on 1 January 2026, to govern the collection, use and disclosure of personal data in Brunei Darussalam."
BG	Bulgaria	12 February 2026	AUTH	The GDPR has removed the need which existed in some Member States under the previous law to notify and in some cases seek prior approval of standard contractual clauses from supervisory authorities.	yes	The GDPR also includes a list of context specific derogations, permitting transfers to third countries where: explicit informed consent has been obtained; the transfer is necessary for the performance of a contract or the implementation of pre-contractual measures; the transfer is necessary for the 	yes	"The GDPR creates more restrictive rules for the processing of"" special categories"" (Article 9) of personal data (including data relating to race, religion, sexual life, data pertaining to health, genetics and biometrics) and personal data relating to criminal convictions and offences (Article 10)."	yes	Special Category Data Processing of special category data is prohibited (Article 9), except where one of the following exemptions applies (which, in effect, operate as secondary bases which must be established for the lawful processing of special category data, in addition to an Article 6 basis): wi	EU regulation The General Data Protection Regulation (Regulation (EU) 2016/679) ( GDPR ) is a European Union law which entered into force in 2016 and, following a two-year transition period, became directly applicable law in all Member States of the European Union on May 25, 2018, without requiring 
BF	Burkina Faso	20 January 2025	COND	The provisions of the Law pertaining to international transfers are broadly drafted.	no		yes	Definition of Sensitive Personal Data Any personal data relating to the data subject's health or that reveal racial or ethnic origins, political, philosophical or religious opinions, union membership, morals, investigation and prosecution of offenders, criminal or administrative penalties, related s	yes	The processing of personal data can legally be carried out without the consent of the data subject(s), when it is necessary for: the performance of a contract to which the data subject is a party; or pre-contractual measures taken at the request of the data subject; compliance with a legal obligatio	The data protection regime in Burkina Faso is governed by the following laws and regulations: Law No. 001-2021 of March 30, 2021 on the protection of persons with regard to the processing of personal data.
BI	Burundi	17 January 2024	COND	No geographic transfer restrictions apply in Burundi.	no		no		no		Burundi does not have a law that specifically regulates personal data protection.
KH	Cambodia	13 February 2026	COND	There are no existing regulations or provisions on the restriction of the transfer of data, including international transfer, except for licensed banks and financial institutions licensed by the National Bank of Cambodia, which need to follow guidelines under the Technology Risk Management Guideline	no		no		no		The Ministry of Post and Telecommunications (MPTC) announced on 19 February 2021 their intention to prepare a comprehensive personal data protection law after finalizing the draft cybersecurity law.
CM	Cameroon	19 March 2026	AUTH	The transfer of personal data to a foreign country or to an international organisation is subject to prior authorisation being obtained from the Personal Data Protection Authority under conditions that guarantee the exercise of the data subject's rights.	no		yes	(Article 5 of the Data Protection Act) Definition of sensitive personal data Information relating in particular to religious, philosophical, political or trade union opinions and activities, banking transactions, racial or ethnic origin, linguistic or regional origin, sex life, genetics, biometrics,	no		The data protection regime in Cameroon is governed by the following laws and regulations: Law No. 2024/017 of 23 December 2024 on the protection of personal data Law N°2010/013 of 21 December 2010 governing electronic communications in Cameroon Law No. 2010/012 of 21 December 2010 on cybersecurity a
CA	Canada	26 January 2023	COND	When an organization transfers personal information to a third-party service provider ( ie, ‎who acts on behalf of the transferring organization -- although Canadian legislation does not use these terms, the transferring organization would be the“ controller” in GDPR parlance, and the service provid	no		no		no		This content was last reviewed in 2023 and may not reflect recent legislative updates.
CV	Cape Verde	16 January 2025	COND	The Data Protection Law stipulates that the international transfer of personal data is only permitted if the recipient country is considered to have adequate level of protection in respect of personal data processing.	yes	As a general rule, the transfer of personal data to countries that do not provide for an adequate level of protection of personal data can only be permitted if the data subject has given his consent or in some specific situations, namely if the transfer: is necessary for the performance of an agreem	yes	Definition of sensitive personal data Sensitive data is defined as personal data that refers to a person’s: philosophical or political convictions party or union affiliation religious faith private life ethnic origin health sex life genetic information and biometric data.	no		Data Protection Law (Law 133/V/2001 (as amended by Law 41/VIII/2013, Law 121/IX/2021 of 17 March 2021) and Law 132/V/2001, of 22 January 2001.
KY	Cayman Islands	28 January 2025	COND	As set out in the eighth principle, transfers of personal data by a data controller or a data processor to countries or territories outside the Cayman Islands are only permitted where that country or territory ensures an adequate level of protection for the rights and freedoms of data subjects in re	yes	The DPA also includes the following exceptions where the eighth principle will not apply to a transfer: if the data subject has consented to the transfer (where consent must be freely given, specific, informed and unambiguous and must be capable of being withdrawn at any time); where the transfer is	yes	The DPA creates more restrictive rules for the processing of ' sensitive personal data ', which includes personal data consisting of a data subject's racial or ethnic origin, political opinions, religious beliefs, trade union membership, genetic data, physical or mental health or condition, medical 	yes	Sensitive personal data In order for the processing of sensitive personal data to be considered lawful, in addition to meeting one of the above legal bases, one of the following conditions must be met: The data subject has given consent to the processing (where consent must be freely given, specific	The Data Protection Act (2021 revision) ( DPA ) is a Cayman Islands law, which first came into force on 30 September 2019.
TD	Chad	19 March 2026	COND	In light of Article 29 of the Act, the data controller cannot transfer personal data to another foreign country non-member of the CEMAC / CEAC unless that country provides a sufficient level of protection for the privacy, fundamental rights, and freedoms of individuals.	yes	A transfer to a non CEMAC / CEEAC country not offering a sufficient level of protection is possible if: the data subject agrees to the transfer; the transfer protects the life of the data subjects / holders; the transfer protects the public interest; the transfer is necessary to the performance of a	yes	Definition of sensitive personal data Data relating to religious, philosophical, political, trade union opinions or activities, sex or racial life, health, social measures, prosecutions, and criminal or administrative charges (Article 5 of the Act).	no		The data protection regime in Chad is mainly governed by the following laws and regulations: Act No. 007/PR/2015 of February 10, 2015, on Personal Data protection (‘ The Act ’); Decree No. 075/PR/2019 of January 21, 2019 implementing the provisions of application of the Act N°007/PR/2015 of February
CL	Chile	5 February 2026	COND	The transfer of personal data is considered a processing activity, so all of the aforementioned rules are applicable, including the requirement to rely on a legal basis (usually consent).	no		yes	Definition of sensitive data (Law 21.719) Sensitive Data refers to personal data relating to an individual’s physical or moral characteristics, or to facts or circumstances of their private or intimate life, that reveal ethnic or racial origin, political, trade-union or professional association affi	no		Protection of Personal Data is regulated under various laws in Chile.
CN	China	13 February 2026	AUTH	Transfers to overseas judicial or law enforcement authorities If an individual or organization wants to provide any data stored in the PRC to an overseas judicial or enforcement authority, it must obtain the approval of the Ministry of Justice in advance.	yes	"Exempted Transfers According to the Regulations on Facilitating and Regulating the Cross–border Data Transfers, the following cross-border data transfers are exempted from having to follow any one of the legitimising mechanisms above (""Exempted Transfers”): Collection outside of PRC the personal inf"	yes	Definition of sensitive personal information The PIPL defines sensitive personal information as information that, once leaked or illegally used, will easily lead to infringement of human dignity or harm to the personal or property safety of a natural person, including (but not limited to): biometric	no		There is not a single comprehensive data protection law in the People's Republic of China (PRC).
CO	Colombia	13 February 2026	COND	Per Law 1581, the transfer of personal data occurs if the data controller or the data processor located in Colombia transmits the personal data to a recipient, in or outside of Colombia, who is responsible for the personal data, i.e., a data controller.	no		yes	Data that reveals any of the below information is considered sensitive data and its processing is prohibited by law: Ethnic or racial origin Political orientation Religious or philosophic convictions Membership in labor unions, human right groups or social organizations Membership in any group that 	no		Colombia recognizes two fundamental personal data rights under Articles 15 and 20 of its Constitution: (1) the right to privacy and (2) the right to data rectification.
CI	Côte d’Ivoire	6 January 2025	AUTH	Article 26 also states that prior to any actual transfer of personal data to a third country, the data controller must obtain prior authorisation from ARTCI.	no		yes	Definition of sensitive personal data Article 1 of the 2013-450 law on the protection of personal data defines sensitive data as: 'any data relating to religious, philosophical, political or trade union opinions or activities, sexual or racial life, health, social measures, prosecutions or criminal 	no		The data protection regime in Côte d’Ivoire is governed by the following laws and regulations: Law No. 2024-532 of June 6, 2024, on Electronic Communications Law no. 2013-546 of 30 July 2013 on electronic transactions Law no. 2013-451 of 19 June 2013 on the fight against cybercrime Law no. 2013-450 
CR	Costa Rica	9 February 2026	COND	The transfer of personal information is authorized by the Laws if the data subject provides prior, unequivocal, express and valid written consent to the company that manages the database.	no		no		no		"Data privacy regulation in Costa Rica is contained in two laws, the"" Laws"": Law No. 7975, the Undisclosed Information Law, which makes it a crime to disclose confidential and/or personal information without authorization; and Law No. 8968, Protection in the Handling of the Personal Data of Individua"
HR	Croatia	10 February 2026	AUTH	The GDPR has removed the need which existed in some Member States under the previous law to notify and in some cases seek prior approval of standard contractual clauses from supervisory authorities.	yes	The GDPR also includes a list of context specific derogations, permitting transfers to third countries where: explicit informed consent has been obtained; the transfer is necessary for the performance of a contract or the implementation of pre-contractual measures; the transfer is necessary for the 	yes	"The GDPR creates more restrictive rules for the processing of"" special categories"" (Article 9) of personal data (including data relating to race, religion, sexual life, data pertaining to health, genetics and biometrics) and personal data relating to criminal convictions and offences (Article 10)."	yes	Special Category Data Processing of special category data is prohibited (Article 9), except where one of the following exemptions applies (which, in effect, operate as secondary bases which must be established for the lawful processing of special category data, in addition to an Article 6 basis): wi	EU regulation The General Data Protection Regulation (Regulation (EU) 2016/679) ( GDPR ) is a European Union law which entered into force in 2016 and, following a two-year transition period, became directly applicable law in all Member States of the European Union on May 25, 2018, without requiring 
CU	Cuba	16 February 2022	COND	Nothing in the Cuba rules is established concerning transfer.	no		no		no		This content was last reviewed in 2022 and may not reflect recent legislative updates.
CW	Curaçao	10 February 2025	COND	National Ordinance Personal Data Protection Contains no clauses.	no		yes	Definition of Sensitive Personal Data National Ordinance Personal Data Protection A person’s religion or belief, race, political views, health, sexual life as well as personal data concerning membership of a trade union.	no		National ordinance personal data protection (Landsverordening bescherming persoonsgegevens, National Gazette 2010, Consolidated text no. 84)“ (National Ordinance Personal Data Protection”); General Data Protection Regulation (the“ GDPR”) – a regulation of the European Union which became effective on
CY	Cyprus	12 March 2026	AUTH	The GDPR has removed the need which existed in some Member States under the previous law to notify and in some cases seek prior approval of standard contractual clauses from supervisory authorities.	yes	The GDPR also includes a list of context specific derogations, permitting transfers to third countries where: explicit informed consent has been obtained; the transfer is necessary for the performance of a contract or the implementation of pre-contractual measures; the transfer is necessary for the 	yes	"The GDPR creates more restrictive rules for the processing of"" special categories"" (Article 9) of personal data (including data relating to race, religion, sexual life, data pertaining to health, genetics and biometrics) and personal data relating to criminal convictions and offences (Article 10)."	yes	Special Category Data Processing of special category data is prohibited (Article 9), except where one of the following exemptions applies (which, in effect, operate as secondary bases which must be established for the lawful processing of special category data, in addition to an Article 6 basis): wi	EU regulation The General Data Protection Regulation (Regulation (EU) 2016/679) ( GDPR ) is a European Union law which entered into force in 2016 and, following a two-year transition period, became directly applicable law in all Member States of the European Union on May 25, 2018, without requiring 
CZ	Czech Republic	16 January 2024	AUTH	The GDPR has removed the need which existed in some Member States under the previous law to notify and in some cases seek prior approval of standard contractual clauses from supervisory authorities.	yes	The GDPR also includes a list of context specific derogations, permitting transfers to third countries where: explicit informed consent has been obtained; the transfer is necessary for the performance of a contract or the implementation of pre-contractual measures; the transfer is necessary for the 	yes	"The GDPR creates more restrictive rules for the processing of"" special categories"" (Article 9) of personal data (including data relating to race, religion, sexual life, data pertaining to health, genetics and biometrics) and personal data relating to criminal convictions and offences (Article 10)."	yes	Special Category Data Processing of special category data is prohibited (Article 9), except where one of the following exemptions applies (which, in effect, operate as secondary bases which must be established for the lawful processing of special category data, in addition to an Article 6 basis): wi	EU regulation The General Data Protection Regulation (Regulation (EU) 2016/679) ( GDPR ) is a European Union law which entered into force in 2016 and, following a two-year transition period, became directly applicable law in all Member States of the European Union on May 25, 2018, without requiring 
CD	Democratic Republic of Congo	4 February 2026	COND	The Digital Code distinguishes between the transmission and transfer of personal data.	no		yes	Definition of Sensitive Personal Data There is no separate definition of sensitive data, but the Digital Code prohibits, as a matter of principle, the processing of certain data which can be considered as sensitive, such as personal data relating to racial or ethnic origin, political opinions, relig	no		The protection of personal data is included in the law establishing the digital code N°23-010 of 13 March 2023 and published in the official journal on 11 April 2023 (the“ Digital Code Law” or“ Digital Code” ).
DK	Denmark	16 January 2025	AUTH	The GDPR has removed the need which existed in some Member States under the previous law to notify and in some cases seek prior approval of standard contractual clauses from supervisory authorities.	yes	The GDPR also includes a list of context specific derogations, permitting transfers to third countries where: explicit informed consent has been obtained; the transfer is necessary for the performance of a contract or the implementation of pre-contractual measures; the transfer is necessary for the 	yes	"The GDPR creates more restrictive rules for the processing of"" special categories"" (Article 9) of personal data (including data relating to race, religion, sexual life, data pertaining to health, genetics and biometrics) and personal data relating to criminal convictions and offences (Article 10)."	yes	Special Category Data Processing of special category data is prohibited (Article 9), except where one of the following exemptions applies (which, in effect, operate as secondary bases which must be established for the lawful processing of special category data, in addition to an Article 6 basis): wi	EU regulation The General Data Protection Regulation (Regulation (EU) 2016/679) ( GDPR ) is a European Union law which entered into force in 2016 and, following a two-year transition period, became directly applicable law in all Member States of the European Union on May 25, 2018, without requiring 
DO	Dominican Republic	28 January 2025	COND	Transfer is considered a form of 'treatment' of personal data under the DPL; hence, the rules apply, including consent requirements.	no		yes	Definition of sensitive personal data The term 'sensitive data' refers to personal data that reveals its subject´s: Political opinions Religious, philosophical or moral convictions Racial or ethnic origin Affiliation to labor unions or trade union membership, and Information concerning health or sex	no		Section 44 of the Dominican Constitution recognizes citizens’ right to access their personal data stored in public or private databases, as well as their right to information concerning the purpose and use of the same.
EC	Ecuador	10 February 2026	COND	International personal data transfers may be carried out if compliant with applicable data protection law and an adequate level of protection for data subjects is ensured, either because the destination country, organization, or recipient has been formally recognized as providing an adequate level o	yes	Additionally, international transfers may be permitted in exceptional circumstances, including when the data subject has given explicit and informed consent, when the transfer is necessary for the performance of a contract or pre-contractual measures, for compliance with a legal or regulatory obliga	yes	Definition of Sensitive Personal Data Article 4 of the Organic Law on Personal Data Protection defines sensitive personal data as information related to: ethnicity, gender identity, cultural identity, religion, ideology, political affiliation, judicial background, immigration status, sexual orientat	no		"Constitution The Constitution of Ecuador in its article 66, referring to the personal freedom rights of individuals in the Ecuadorian territory, the State recognizes and guarantees in section 19:"" The right to the protection of personal data, which includes the access and decision on information and"
EG	Egypt	13 February 2026	COND	Pursuant to Article (14) of the Law, it is prohibited to transfer any personal data that was collected or prepared for processing to a foreign country unless such country grants a level of protection of personal data, that does not fall below what is stipulated in the Law and subject to obtaining a 	no		yes	Definition of Sensitive Personal Data Pursuant to Article (1) of the Law, sensitive data shall mean data which discloses psychological, mental or physical health, or genetic, biometric or financial data, religious beliefs, political views, or criminal records.	no		"Personal Data Protection Law No.151 of 2020 (the"" Law"")."
SV	El Salvador	28 January 2024	COND	Transfer is not specifically regulated.	no		no		no		N/A.
GQ	Equatorial Guinea	6 March 2025	COND	Art. 21 is to the effect that: Personal data obtained by the General administration of the state cannot be communicated or given out unless it is for historic or, statistics of scientific purposes.	no		no		no		The applicable law is the Personal Data Protection Law Num. 1/2016 dated 22 July.
EE	Estonia	19 February 2026	AUTH	The GDPR has removed the need which existed in some Member States under the previous law to notify and in some cases seek prior approval of standard contractual clauses from supervisory authorities.	yes	The GDPR also includes a list of context specific derogations, permitting transfers to third countries where: explicit informed consent has been obtained; the transfer is necessary for the performance of a contract or the implementation of pre-contractual measures; the transfer is necessary for the 	yes	"The GDPR creates more restrictive rules for the processing of"" special categories"" (Article 9) of personal data (including data relating to race, religion, sexual life, data pertaining to health, genetics and biometrics) and personal data relating to criminal convictions and offences (Article 10)."	yes	Special Category Data Processing of special category data is prohibited (Article 9), except where one of the following exemptions applies (which, in effect, operate as secondary bases which must be established for the lawful processing of special category data, in addition to an Article 6 basis): wi	EU regulation The General Data Protection Regulation (Regulation (EU) 2016/679) ( GDPR ) is a European Union law which entered into force in 2016 and, following a two-year transition period, became directly applicable law in all Member States of the European Union on May 25, 2018, without requiring 
