code	transfer_final	vital_final	review_note
HT	FREE	no	no transfer restriction; data communicated to third parties must remain accessible and correctable
HN	COND	no	express written consent of the data subject, with exceptions
HK	FREE	no	section 33 cross-border restrictions not in force; first pass wrongly said LOCAL
HU	COND	yes	GDPR Ch V
IS	COND	yes	GDPR via EEA; first pass wrongly said AUTH
IN	COND	no	allowed to all countries except any the government blacklists; valid contract; first pass wrongly said LOCAL
ID	COND	no	equal or higher protection, safeguards, or consent
IR	COND	no	express consent plus adequate security
IE	COND	yes	GDPR Ch V; first pass wrongly said AUTH
IL	COND	no	equivalent protection or listed conditions incl. consent
IT	COND	yes	GDPR Ch V; first pass wrongly said AUTH
JP	COND	no	prior consent, opt-out, joint use or entrustment
JE	COND	yes	territory; adequacy or safeguards
JO	COND	no	consent and conditions; Art 15 bars transfer to lower-protection destinations unless exceptions; first pass wrongly said LOCAL
KZ	COND	no	protection or consent; law may prohibit in cases; storage localisation checked separately
KE	COND	yes	proof of safeguards to the DPC; sensitive-data transfer needs consent; vital-interests necessity; civil registry needs DPC approval
XK	COND	no	adequacy or safeguards; not a UN member
KW	COND	no	disclose destination countries; no transfer without consent under E-Commerce Law
KG	COND	no	allowed within and abroad; protecting data subject's interests is a ground
LA	COND	no	consent plus receiving entity's protection; financial documents encrypted
LV	COND	yes	GDPR Ch V; first pass wrongly said AUTH
LB	FREE	no	law silent on cross-border transfers
LS	COND	no	SADC-transposed states or adequate protection
LR	COND	no	no Liberian law; ECOWAS Act adequacy as secondary source
LY	COND	no	Art 78 appropriate level of protection; first pass wrongly said FREE
LT	COND	yes	GDPR Ch V; first pass wrongly said AUTH
LU	COND	yes	GDPR Ch V; first pass wrongly said AUTH
MO	COND	no	territory; adequacy or consent plus OPDP filings
MG	COND	no	sufficient level of protection
MY	COND	yes	substantially similar laws or exceptions
MT	COND	yes	GDPR Ch V; first pass wrongly said AUTH
MU	COND	yes	proof of safeguards to the Commissioner, explicit consent, or necessity
MX	COND	no	privacy notice passed to third party; consent rules
MD	COND	yes	EU and adequate third countries; NCPDP list
MC	COND	yes	equivalent protection and reciprocity; consent or to save the data subject's life
MN	COND	no	prohibited unless approved under law or permitted by the data owner
ME	AUTH	no	transfer subject to the DPA's approval
MA	AUTH	yes	prior authorisation from the National Commission plus adequacy
MZ	COND	no	no general cross-border restriction; constitution requires consent for disclosure
MM	COND	no	consent by implication of relevant laws
NA	FREE	no	no data transfer restrictions
NP	COND	no	no general transfer rule; cloud and data-centre services must be from government-listed providers
NL	COND	yes	GDPR Ch V; first pass wrongly said AUTH
NZ	COND	no	disclosure limited to purpose; safeguards
NI	COND	no	prior consent of the data owner
NE	COND	no	superior or equivalent protection
NG	COND	yes	adequacy or listed bases
MK	AUTH	no	notify DPA 15 days ahead for EU/EEA/NATO; otherwise only if DPA deems adequate
NO	COND	yes	GDPR via EEA; first pass wrongly said AUTH
PK	COND	no	no data protection law in force; PECA bars transmitting identity information without consent; first pass wrongly said AUTH
PA	COND	no	constitutional consent requirement
PY	FREE	no	only credit-data law regulates transfer; no other specific provisions
PE	COND	no	adequate protection; generally consent
PH	COND	no	PIC remains accountable; data sharing and outsourcing arrangements
PL	COND	yes	GDPR Ch V
PT	COND	yes	GDPR Ch V; first pass wrongly said AUTH
QA	COND	no	consent unless necessary for a lawful purpose
QA2	COND	yes	financial centre only; adequacy list
CG	COND	no	similar protection plus prior notice to the Commission
RO	COND	yes	GDPR Ch V; first pass wrongly said AUTH
RU	AUTH	no	prior notice to Roskomnadzor for 34 white-listed states; approval needed for others (silence counts as approval); storage localisation checked separately
RW	COND	yes	NCSA authorisation with proof of safeguards, or consent, or necessity; storage localisation checked separately
SA	COND	yes	adequacy, appropriate safeguards or limited cases; must not compromise KSA vital interests; sector approvals
SN	COND	yes	sufficient protection; francophone DPA members presumed adequate
RS	COND	no	regime liberalised under the new DP Law; first pass matched the old law and wrongly said AUTH
SC	COND	no	adequate protection or safeguards
SG	COND	no	consent; written agreements with intermediaries; comparable protection abroad
SX	COND	no	territory; GDPR referenced
SK	COND	yes	GDPR Ch V; first pass wrongly said AUTH
SI	COND	yes	GDPR Ch V; first pass wrongly said AUTH
ZA	COND	no	POPIA s72 adequate protection, consent or listed grounds
KR	COND	no	prior opt-in consent with statutory exceptions
ES	COND	yes	GDPR Ch V; first pass wrongly said AUTH
LK	COND	yes	PDPA conditions for cross-border flow
SE	COND	yes	GDPR Ch V; first pass wrongly said AUTH
CH	COND	yes	adequacy list or safeguards; remote access from abroad counts as transfer
TW	COND	no	notice; authorities may restrict in listed circumstances
TJ	COND	no	free to adequate countries; otherwise consent or treaty
TZ	COND	no	adequacy or safeguards
TH	COND	yes	adequacy per regulator's rules or exemptions incl. consent; first pass wrongly said LOCAL
TO	FREE	no	none
TT	COND	no	comparable safeguards; Commissioner's list
TN	AUTH	yes	prior authorisation by the National Authority plus mandatory explicit consent; prohibited if it endangers Tunisia's vital interests
TR	COND	yes	adequacy decision, safeguards or explicit consent
TM	LOCAL	no	consent required, and personal data transferred abroad must also be stored in Turkmenistan
AE4	COND	yes	ADGM free zone only; adequacy or safeguards
AE2	COND	yes	DIFC free zone only; adequacy or Art 27
AE3	COND	yes	Dubai Health Care City free zone: patient health information abroad only with adequacy AND patient authorisation or necessity for ongoing healthcare
AE	COND	no	PDPL adequacy expected; other exceptions
UG	COND	no	adequacy or consent; onward transfer needs consent; adequacy list not yet published; first pass wrongly said LOCAL
UA	COND	yes	appropriate protection; EEA and Convention states
GB	COND	yes	UK GDPR Ch V
US	FREE	no	no general geographic restriction; some government records excepted; EO 14117 limits bulk sensitive data to countries of concern
UY	COND	no	adequacy or consent
UZ	COND	no	only to adequate states, list not adopted; storage localisation checked separately
VE	COND	no	TSJ principles against transfer to states without similar protection
VN	AUTH	yes	transfer impact assessment filed with the Ministry of Public Security; exemption for emergencies protecting life, health or property
ZM	LOCAL	no	personal data processed and stored in Zambia; sensitive personal data MUST be, regardless of Minister's exemptions
ZW	COND	no	adequate protection; notify the Authority
